Nombre,Lichess,Género,Bullet,Bullet_Games,Blitz,Blitz_Games,Rapid,Rapid_Games,Classical,Classical_Games,Puzzle_Rating,Puzzles_Played,Storm,Storm_Attempts,Streak,Streak_Attempts,Racer,Racer_Attempts
1,redapplesly,f,933,10,428,18,0,0,856,20,663,251,3,3,0,0,6,12
2,rafa_celis,m,517,34,461,23,647,39,678,8,1251,2,2,6,0,0,11,22
3,Luis_NewYork,m,780,15,528,7,1251,3,0,0,727,105,0,0,0,0,7,18
4,Lesly_Winkle,f,419,40,517,22,783,11,996,19,810,157,0,0,0,0,7,8
5,Angel_cruz2013,m,681,85,472,16,755,31,759,8,847,243,2,1,0,0,7,18
6,Dani_5ey3,m,648,171,687,91,826,86,1047,47,1100,721,3,2,1,1,0,0
7,Alan_Chernobyl,m,589,23,864,9,799,2,0,0,931,131,2,1,0,0,10,10
8,Erick7028,m,817,111,668,16,610,19,1599,2,1136,65,0,0,1,3,9,14
9,j0s_e612,m,993,131,991,85,1096,129,1441,75,1495,1437,16,31,10,104,24,42
10,Cristofer-Chess,m,654,25,850,20,1028,15,0,0,1067,122,5,9,0,0,9,17
11,Kely_Chess,f,458,24,668,11,567,21,1283,1,860,200,0,0,0,0,13,17
12,Derek_25,m,673,216,560,35,642,35,972,5,1233,288,7,7,0,0,11,26
13,pan_con_nutela,m,652,48,1012,36,1034,19,1389,3,1283,391,8,9,0,0,18,14
14,Mafe128,f,0,0,0,0,0,0,867,4,1352,1,0,0,0,0,0,0
15,ocinmonterd,f,802,122,651,79,807,56,803,29,1206,577,4,6,0,0,10,27
16,adan_swimchess,m,1101,3,633,18,858,39,1008,26,1648,773,13,48,22,59,21,43
17,Axel_Yahel,m,760,26,764,28,996,23,1036,8,863,156,4,3,0,0,8,5
18,Monico234567,m,939,11,639,24,664,21,0,0,627,166,1,1,0,0,10,6
19,Adairr_21,m,667,54,569,30,826,9,1044,6,809,140,3,1,0,0,0,0
