Rank,N,Name,Categoría,Score,      DE  ,      BH  ,      SB  ,   BH/M1  ,     WON  ,Birthday
1,5,"Martinez Romero, Luisa Andrea",Sub-15,3,    0   ,    6.0 ,   6.00 ,    2.0 ,     3  ,    0.0 
2,15,"Hernandez Morfinez, Letizia Zoe",Sub-15,3,    0   ,    4.0 ,   4.00 ,    1.0 ,     3  ,    0.0 
3,1,"Medina Huerta, Vianey Iday",Libre,2,    0   ,    6.0 ,   3.00 ,    2.0 ,     2  ,    0.0 
4,2,"Soriano Reyes, Kenia",Sub-15,2,    0   ,    6.0 ,   3.00 ,    2.0 ,     2  ,    0.0 
5,3,"Soriano Crispin, Cinthya Rubi",Sub-18,2,    0   ,    5.0 ,   3.00 ,    2.0 ,     2  ,    0.0 
6,19,"Perez Aguilar, Dulce Maria",Sub-18,2,    0   ,    5.0 ,   2.00 ,    1.0 ,     2  ,    0.0 
7,20,"Ramirez Clemente, Sofia Danae",Sub-15,2,    0   ,    4.0 ,   2.00 ,    2.0 ,     2  ,    0.0 
8,14,"Hernandez Mariano, Marisol",Sub-18,2,    0   ,    4.0 ,   1.00 ,    1.0 ,     2  ,    0.0 
9,11,"Cruz Martinez, Berenice",Sub-15,2,    0   ,    3.0 ,   1.00 ,    1.0 ,     2  ,    0.0 
10,12,"Flores Valencia, Diana Paola",Sub-15,2,    0   ,    3.0 ,   1.00 ,    1.0 ,     2  ,    0.0 
11,4,"Castillo Lopez, Daniela",Sub-15,1,    0   ,    6.0 ,   1.00 ,    2.0 ,     1  ,    0.0 
12,10,"Cortez Fernandez, Sahori Yazmin",Sub-18,1,    0   ,    5.0 ,   1.00 ,    2.0 ,     1  ,    0.0 
13,6,"Aquino Pelaez, Naomi Gisselle",Sub-15,1,    0   ,    5.0 ,   0.00 ,    2.0 ,     1  ,    0.0 
14,7,"Bello Lopez, Alma Magali",Sub-15,1,    0   ,    4.0 ,   0.00 ,    2.0 ,     1  ,    0.0 
15,8,"Clemente Balderas, Mayte Noeli",Sub-12,1,    0   ,    4.0 ,   0.00 ,    2.0 ,     1  ,    0.0 
16,13,"Garcia Flores, Maritrini",Sub-12,1,    0   ,    3.0 ,   0.00 ,    1.0 ,     0  ,    0.0 
17,21,"Varillas Bernardino, Maritsa",Libre,1,    0   ,    2.0 ,   0.00 ,    0.0 ,     1  ,    0.0 
18,9,"Cortes Lara, Angela Alessandra",Sub-12,0,    0   ,    5.0 ,   0.00 ,    2.0 ,     0  ,    0.0 
19,16,"Munoz Lopez, Ailyn Mayte",Sub-12,0,    0   ,    5.0 ,   0.00 ,    2.0 ,     0  ,    0.0 
20,17,"Peralta Varillas, Alondra Maritz",Sub-18,0,    0   ,    1.0 ,   0.00 ,    0.0 ,     0  ,    0.0 
21,18,"Peralta Varillas, Vanesa Estrell",Sub-18,0,    0   ,    1.0 ,   0.00 ,    0.0 ,     0  ,    0.0 
